amount,details,expenseDate,card,requiredType,occurance,category,frequency
773,Medicine,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
1657,Pinky dress from Mintra,2021-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Nice,One Time,Clothing,Monthly
509,Doctor and medicine (Saket),2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
2554,Stuti track pants,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
1978,Grocery,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
804,Lunch for Saket and Stuti,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
8400,Home expenses (Monthly),2021-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
721,Party with friends,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
401,Haircut + Ice cream,2021-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
2000,MIT Entrance test fees,2021-02-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Education,Monthly
1500,Saket for daily expenses,2021-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1500,Petrol,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
1950,Cash for regular use,2021-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
314,Cable,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
290,Dinner outside,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
3533,Grocery,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1561,BESCOM,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
715,Medicine,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Medical,Monthly
734,Lunch from outside,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
2910,"Stuti, Pinky and Zing track pants from Jockey",2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
12500,Mattress expenses,2021-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,One Time,Monthly
600,Stuti Dance,2021-03-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
342,Gift to Jiya,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
2176,Grocery,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2500,Plants,2021-03-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,One Time,Monthly
1800,Milk Refill,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
798,Airtel,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1574,Grocery,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1500,Petrol,2021-03-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Local Transport,Monthly
200,Metro card recharge,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Local Transport,Monthly
400,Lunch out side,2021-03-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Hotel,Monthly
1270,Dry fruits,2021-03-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Grocery,Monthly
910,Gift to Komal,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
414,Dinner outside,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1256,Grocery,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
390,Briefs to Saket,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Clothing,Monthly
409,Hotel with family,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
444,Saket Facewash,2021-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Medical,Monthly
75,Stationary,2021-03-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Education,Monthly
14820,Melody,2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
10000,Pinky,2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
8400,Home expenses (Monthly),2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1670,Cash for regular use,2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
942,Grocery,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
342,Cable,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1500,Kundagol,2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,Recursive,Donation,Monthly
1100,Dinner Outside,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
2309,Grocery,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
904,Medicine,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Medical,Monthly
509,Saket IISC Entrance fee,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
2360,Canra bank locker charges,2021-04-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Yearly,Monthly
2967,Pinky shoes,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
1661,BESCOM,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1329,LG Service (OE Error),2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,One Time,Monthly
600,Stuti Dance,2021-04-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
3430,Grocery,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
225,Book to Stuti,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
1129,Lunch outside,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1500,Petrol,2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
1863,Milk Refill,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
812,Cylender,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1250,Gift to Nitin and Nanda,2021-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Gift,Monthly
682,Dinner outside,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1595,Grocery,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
275,Gift to Chinni's friend,2021-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
